x,y,z,phi
-3.000000000000e-04,-4.000000000000e-04,1.200000000000e-04,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,1.500000000000e-04,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,1.800000000000e-04,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,2.100000000000e-04,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,2.400000000000e-04,0.000000000000e+00
-3.000000000000e-04,-4.000000000000e-04,2.700000000000e-04,0.000000000000e+00
-3.000000000000e-04,-3.703703703704e-04,3.000000000000e-04,0.000000000000e+00
-3.000000000000e-04,-3.407407407407e-04,3.000000000000e-04,0.000000000000e+00
-3.000000000000e-04,-3.111111111111e-04,3.000000000000e-04,0.000000000000e+00
-3.000000000000e-04,-2.814814814815e-04,3.000000000000e-04,-1.328578437535e-14
